"SITE","TS","TEMP_C","SC_uS_cm","STAGE_cm"
"ARD",1367517840,10.74,23.4,265.7
"ARD",1367518080,10.63,23.5,267.3
"ARD",1367518320,10.55,23.5,268.2
"ARD",1367518560,10.54,23.8,268.1
"ARD",1367518800,10.55,23.5,268
"ARD",1367519040,10.57,24,268.2
"ARD",1367519280,10.59,23.9,267.2
"ARD",1367519520,10.61,23.9,266.2
"ARD",1367519760,10.62,23.9,266
"ARD",1367520000,10.63,24.1,265
"ARD",1367520240,10.65,24,264.4
"ARD",1367520480,10.67,24,264.3
"ARD",1367520720,10.67,24.5,263.1
"ARD",1367520960,10.69,24,263.2
"ARD",1367521200,10.69,24.2,262.7
"ARD",1367521440,10.7,24.2,261.8
"ARD",1367521680,10.71,24,261.9
"ARD",1367521920,10.73,24.1,261.5
"ARD",1367522160,10.74,24.1,261.3
"ARD",1367522400,10.74,24.3,261.4
"ARD",1367522640,10.78,24,261.2
"ARD",1367522880,10.78,24,261.3
"ARD",1367523120,10.78,24,261.5
"ARD",1367523360,10.8,23.9,261.6
"ARD",1367523600,10.82,24.5,261.2
"ARD",1367523840,10.83,23.9,261.9
"ARD",1367524080,10.86,24.2,261.9
"ARD",1367524320,10.87,23.9,262.6
"ARD",1367524560,10.88,24,263
"ARD",1367524800,10.9,23.9,262.9
"ARD",1367525040,10.91,23.9,263.2
"ARD",1367525280,10.92,24.1,262.6
"ARD",1367525520,10.94,24,263.1
"ARD",1367525760,10.94,24,263.5
"ARD",1367526000,10.95,24,263.6
"ARD",1367526240,10.96,23.8,263.8
"ARD",1367526480,10.98,24,264
"ARD",1367526720,10.98,23.8,264.1
"ARD",1367526960,10.99,23.8,264.3
"ARD",1367527200,10.99,23.9,264.7
"ARD",1367527440,11,24.2,264.2
"ARD",1367527680,11,24.6,265.1
"ARD",1367527920,11.01,23.8,264.6
"ARD",1367528160,11.04,23.9,264.9
"ARD",1367528400,11.04,23.8,264.6
"ARD",1367528640,11.04,23.9,264.6
"ARD",1367528880,11.04,23.9,264.4
"ARD",1367529120,11.05,24.6,264.4
"ARD",1367529360,11.05,24.6,263.7
"ARD",1367529600,11.07,24.6,263.7
"ARD",1367529840,11.05,24.5,263.7
"ARD",1367530080,11.07,24.3,263.4
"ARD",1367530320,11.07,24.3,263.3
"ARD",1367530560,11.08,24.2,263
"ARD",1367530800,11.08,24.2,263.4
"ARD",1367531040,11.08,24,263.1
"ARD",1367531280,11.08,24.2,263.5
"ARD",1367531520,11.08,24.6,263.6
"ARD",1367531760,11.08,24.4,264.4
"ARD",1367532000,11.08,24.4,264.1
"ARD",1367532240,11.08,24.4,265
"ARD",1367532480,11.08,24.3,266.1
"ARD",1367532720,11.08,24.3,265.7
"ARD",1367532960,11.07,24.9,266.3
"ARD",1367533200,11.08,24.6,265.7
"ARD",1367533440,11.08,24.2,265.1
"ARD",1367533680,11.05,24.5,264
"ARD",1367533920,11.05,24.8,263.1
"ARD",1367534160,11.05,24.6,261.9
"ARD",1367534400,11.04,24.6,261
"ARD",1367534640,11.04,24.6,259
"ARD",1367534880,11.04,25,257.4
"ARD",1367535120,11.01,25.1,255.8
"ARD",1367535360,11.01,25.1,254.2
"ARD",1367535600,11.01,25.2,253
"ARD",1367535840,11,25.5,251.1
"ARD",1367536080,10.99,25.5,249.5
"ARD",1367536320,11,25.2,248.3
"ARD",1367536560,10.99,25.5,247.7
"ARD",1367536800,10.98,25.7,246.4
"ARD",1367537040,10.96,25.7,246.2
"ARD",1367537280,10.96,25.5,246.3
"ARD",1367537520,10.95,25.1,246.4
"ARD",1367537760,10.95,24.7,246.3
"ARD",1367538000,10.94,24.7,246.4
"ARD",1367538240,10.94,24.7,247.1
"ARD",1367538480,10.94,24.7,246.8
"ARD",1367538720,10.92,24.6,247.3
"ARD",1367538960,10.92,24.6,247.6
"ARD",1367539200,10.91,24.4,247.8
"ARD",1367539440,10.92,24.4,248.5
"ARD",1367539680,10.91,24.3,248.6
"ARD",1367539920,10.92,24.4,249
"ARD",1367540160,10.91,24.4,250
"ARD",1367540400,10.91,24.4,250.3
"ARD",1367540640,10.91,24.4,250.9
"ARD",1367540880,10.91,24.4,251.7
